Year,Year Label,Economy,Economy Label,Mode,Mode Label,Direction,Direction Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,US dollars at current prices per capita,US dollars at current prices per capita Footnote,Percentage of total world,Percentage of total world Footnote,Percentage of Gross Domestic Product,Percentage of Gross Domestic Product Footnote,Percentage of Gross Fixed Capital Formation,Percentage of Gross Fixed Capital Formation Footnote
1990,1990,1615,LDCs: Islands and Haiti,8,Flow,1,Inward,19.133,,2.467,,0.009338,,0.44799,,2.91146,
1990,1990,1615,LDCs: Islands and Haiti,8,Flow,2,Outward,-8,,-1.155,,-0.00328,,-0.22749,,-1.50524,
1990,1990,1615,LDCs: Islands and Haiti,9,Stock,1,Inward,166.223,,22.232,,0.007569,,4.01427,,25.88194,
1990,1990,1620,LLDCs (Landlocked developing countries),8,Flow,1,Inward,602.46,,3.119,,0.294044,,0.77121,,5.14285,
1990,1990,1620,LLDCs (Landlocked developing countries),8,Flow,2,Outward,32.527,,0.506,,0.013338,,0.08418,,0.68059,
1990,1990,1620,LLDCs (Landlocked developing countries),9,Stock,1,Inward,7461.907,,38.2,,0.339764,,9.34281,,60.20591,
1990,1990,1620,LLDCs (Landlocked developing countries),9,Stock,2,Outward,709.329,,11.034,,0.031457,,1.83569,,14.84204,
1990,1990,1640,SIDS (Small island developing States) (UN-OHRLLS),8,Flow,1,Inward,6109.911,,194.339,,2.982078,,7.1904,,28.08946,
1990,1990,1640,SIDS (Small island developing States) (UN-OHRLLS),8,Flow,2,Outward,2101.51,,108.746,,0.861717,,3.32419,,11.90011,
1990,1990,1640,SIDS (Small island developing States) (UN-OHRLLS),9,Stock,1,Inward,37411.767,,1222.735,,1.703475,,44.58031,,173.4556,
1990,1990,1640,SIDS (Small island developing States) (UN-OHRLLS),9,Stock,2,Outward,8710.12,,655.574,,0.386275,,13.47847,,49.15423,
1990,1990,1641,SIDS: Atlantic and Indian Ocean,8,Flow,1,Inward,-133.399,,-36.319,,-0.065108,,-1.35561,,-5.56086,
1990,1990,1641,SIDS: Atlantic and Indian Ocean,8,Flow,2,Outward,26.979,,13.204,,0.011063,,0.31966,,1.23889,
1990,1990,1641,SIDS: Atlantic and Indian Ocean,9,Stock,1,Inward,986.475,,260.057,,0.044917,,9.91033,,40.52303,
1990,1990,1641,SIDS: Atlantic and Indian Ocean,9,Stock,2,Outward,784.596,,467.365,,0.034795,,9.69885,,38.42389,
1990,1990,1642,SIDS: Caribbean,8,Flow,1,Inward,375.2,,19.69,,0.183125,,1.4657,,8.04041,
1990,1990,1642,SIDS: Caribbean,8,Flow,2,Outward,30.8,,3.242,,0.012629,,0.32966,,1.70897,
1990,1990,1642,SIDS: Caribbean,9,Stock,1,Inward,4009.941,,215.096,,0.182585,,16.13857,,88.0618,
1990,1990,1642,SIDS: Caribbean,9,Stock,2,Outward,82.7,,21.53,,0.003668,,0.73998,,4.11765,
1990,1990,1643,SIDS: Pacific,8,Flow,1,Inward,5868.111,,673.637,,2.864062,,11.84664,,39.95638,
1990,1990,1643,SIDS: Pacific,8,Flow,2,Outward,2043.731,,262.635,,0.838025,,4.49808,,14.93994,
1990,1990,1643,SIDS: Pacific,9,Stock,1,Inward,32415.35,,3972.028,,1.475972,,65.99353,,222.31856,
1990,1990,1643,SIDS: Pacific,9,Stock,2,Outward,7842.824,,1009.848,,0.347812,,17.29138,,57.37418,
1990,1990,170,Colombia,8,Flow,1,Inward,500,,15.337,,0.244036,,0.88406,,3.60512,
1990,1990,170,Colombia,8,Flow,2,Outward,16,,0.491,,0.006561,,0.02829,,0.11536,
1990,1990,170,Colombia,9,Stock,1,Inward,3500.149,,107.362,,0.159373,,6.18871,,25.2369,
1990,1990,170,Colombia,9,Stock,2,Outward,402.436,,12.344,,0.017847,,0.71156,,2.90166,
1990,1990,174,Comoros,8,Flow,1,Inward,0.393,,0.912,,0.000192,,0.07694,,0.52191,
1990,1990,174,Comoros,9,Stock,1,Inward,17.053,,39.555,,0.000776,,3.33874,,22.64668,
1990,1990,178,Congo,8,Flow,1,Inward,22.552,,9.454,,0.011007,,0.77521,,3.46578,
1990,1990,178,Congo,8,Flow,2,Outward,3.793,,1.59,,0.001555,,0.13038,,0.58292,
